2021-08-22T05:00:09.041450100  Imp lvl:1,Connector,autoConnect,
2021-08-22T05:00:16.039948400  Imp lvl:2,GUI.HomeButtonPanel,button4,
2021-08-22T05:00:16.039948400  Imp lvl:1,Connector,userListRequest,
2021-08-22T05:00:16.039948400  Imp lvl:2,GUI,homeShowUserList,
2021-08-22T05:00:16.039948400  Imp lvl:2,GUI.HomePanel,showUserList,
2021-08-22T05:00:16.039948400  Imp lvl:2,GUI.UserPane,constructor,
2021-08-22T05:00:16.039948400  Imp lvl:2,GUI.SingleUserPanel,constructor,
2021-08-22T05:00:16.039948400  Imp lvl:2,GUI.SingleUserPanel,constructor,
2021-08-22T05:00:16.586689200  Imp lvl:2,GUI.HomeButtonPanel,button6,
2021-08-22T05:00:16.586689200  Imp lvl:2,GUI,homeWriteTwitt,
2021-08-22T05:00:16.586689200  Imp lvl:2,GUI.HomePanel,writeTwitt,
2021-08-22T05:00:16.586689200  Imp lvl:2,GUI.WriteTwittPanel,constructor,
2021-08-22T05:00:17.430280  Imp lvl:2,GUI.HomeButtonPanel,button7,
2021-08-22T05:00:17.430280  Imp lvl:2,GUI,homeShowMyProfile,
2021-08-22T05:00:17.430280  Imp lvl:2,GUI.HomePanel,showMyProfile,
2021-08-22T05:00:17.430280  Imp lvl:2,GUI.MyProfilePanel,setText,
2021-08-22T05:00:17.977021700  Imp lvl:2,GUI.HomeButtonPanel,button8,
2021-08-22T05:00:17.977021700  Imp lvl:2,GUI,homeShowMyNotification,
2021-08-22T05:00:17.977021700  Imp lvl:2,GUI.HomePanel,showNotification,
2021-08-22T05:00:17.992439800  Imp lvl:2,GUI.NotificationPanel,constructor,
2021-08-22T05:00:19.570395700  Imp lvl:2,GUI.NotificationPanel,button1,
2021-08-22T05:00:19.570395700  Imp lvl:1,Connector,userListRequest,
2021-08-22T05:00:19.570395700  Imp lvl:2,GUI.NotificationPanel,showFollowRequest,
2021-08-22T05:00:20.429517400  Imp lvl:2,GUI.NotificationPanel,button2,
2021-08-22T05:00:20.429517400  Imp lvl:1,Connector,userListRequest,
2021-08-22T05:00:20.429517400  Imp lvl:2,GUI.NotificationPanel,showMyRequest,
2021-08-22T05:00:20.429517400  Imp lvl:2,GUI.UserPane,constructor,
2021-08-22T05:00:21.788574500  Imp lvl:2,GUI.ButtonPanel,button1,
2021-08-22T05:00:21.788574500  Imp lvl:2,GUI,showHome,
2021-08-22T05:00:21.788574500  Imp lvl:2,GUI.MainPanel,setHomePanel,
2021-08-22T05:00:22.444671400  Imp lvl:2,GUI.ButtonPanel,button2,
2021-08-22T05:00:22.444671400  Imp lvl:2,GUI,showExplore,
2021-08-22T05:00:22.444671400  Imp lvl:2,GUI.MainPanel,setExplorePanel,
2021-08-22T05:00:23.991207700  Imp lvl:2,GUI.ExplorePanel,button1,
2021-08-22T05:00:23.991207700  Imp lvl:1,Connector,userRequest,
2021-08-22T05:00:27.177967900  Imp lvl:2,GUI.ExplorePanel,button1,
2021-08-22T05:00:27.177967900  Imp lvl:1,Connector,userRequest,
2021-08-22T05:00:27.177967900  Imp lvl:2,GsonReader,readUser,
2021-08-22T05:00:27.177967900  Imp lvl:2,GUI.SingleUserPanel,constructor,
2021-08-22T05:00:27.802810600  Imp lvl:2,GUI.SingleUserPanel,button1,
2021-08-22T05:00:27.802810600  Imp lvl:1,Connector,userRequest,
2021-08-22T05:00:27.802810600  Imp lvl:2,GsonReader,readUser,
2021-08-22T05:00:27.802810600  Imp lvl:2,GUI,floatShowProfile,
2021-08-22T05:00:27.802810600  Imp lvl:2,GUI,showFloat,
2021-08-22T05:00:27.802810600  Imp lvl:2,GUI.MainPanel,setFloatPanel,
2021-08-22T05:00:27.802810600  Imp lvl:2,GUI.FloatPanel,showUserProfile,
2021-08-22T05:00:27.802810600  Imp lvl:2,GUI.ProfilePanel,constructor,
2021-08-22T05:00:27.802810600  Imp lvl:2,GUI.ProfileButtonPanel,constructor,
2021-08-22T05:00:27.802810600  Imp lvl:2,GUI.ProfileInfoPanel,constructor,
2021-08-22T05:00:27.802810600  Imp lvl:2,GUI.ProfileInfoPanel,setText,
2021-08-22T05:00:27.802810600  Imp lvl:1,Connector,lastSeenRequest,
2021-08-22T05:00:28.661983100  Imp lvl:2,GUI.ProfileButtonPanel,button2,
2021-08-22T05:00:28.661983100  Imp lvl:1,Connector,userListRequest,
2021-08-22T05:00:28.677392400  Imp lvl:2,GUI,floatShowUserList,
2021-08-22T05:00:28.677392400  Imp lvl:2,GUI.FloatPanel,showUserList,
2021-08-22T05:00:28.677392400  Imp lvl:2,GUI.UserPane,constructor,
2021-08-22T05:00:28.677392400  Imp lvl:2,GUI.SingleUserPanel,constructor,
2021-08-22T05:00:29.130581800  Imp lvl:2,GUI.ProfileButtonPanel,button3,
2021-08-22T05:00:29.130581800  Imp lvl:1,Connector,userListRequest,
2021-08-22T05:00:29.130581800  Imp lvl:2,GUI,floatShowUserList,
2021-08-22T05:00:29.130581800  Imp lvl:2,GUI.FloatPanel,showUserList,
2021-08-22T05:00:29.146030  Imp lvl:2,GUI.UserPane,constructor,
2021-08-22T05:00:29.146030  Imp lvl:2,GUI.SingleUserPanel,constructor,
2021-08-22T05:00:29.146030  Imp lvl:2,GUI.SingleUserPanel,constructor,
2021-08-22T05:00:29.614826700  Imp lvl:2,GUI.ProfileButtonPanel,button4,
2021-08-22T05:00:29.614826700  Imp lvl:2,GUI,floatShowProfile,
2021-08-22T05:00:29.614826700  Imp lvl:2,GUI,showFloat,
2021-08-22T05:00:29.614826700  Imp lvl:2,GUI.MainPanel,setFloatPanel,
2021-08-22T05:00:29.614826700  Imp lvl:2,GUI.FloatPanel,showUserProfile,
2021-08-22T05:00:29.630289900  Imp lvl:2,GUI.ProfilePanel,constructor,
2021-08-22T05:00:29.630289900  Imp lvl:2,GUI.ProfileButtonPanel,constructor,
2021-08-22T05:00:29.630289900  Imp lvl:2,GUI.ProfileInfoPanel,constructor,
2021-08-22T05:00:29.630289900  Imp lvl:2,GUI.ProfileInfoPanel,setText,
2021-08-22T05:00:29.630289900  Imp lvl:1,Connector,lastSeenRequest,
2021-08-22T05:00:30.302137  Imp lvl:2,GUI.ProfileButtonPanel,button1,
2021-08-22T05:00:30.302137  Imp lvl:2,GUI,floatShowTwitt,
2021-08-22T05:00:30.302137  Imp lvl:2,GUI.FloatPanel,showUserTwitts,
2021-08-22T05:00:30.302137  Imp lvl:1,Connector,twittListRequest,
2021-08-22T05:00:30.317625800  Imp lvl:2,GsonReader,readTwitt,
2021-08-22T05:00:30.317625800  Imp lvl:2,GsonReader,readTwitt,
2021-08-22T05:00:30.317625800  Imp lvl:2,GUI.TwittPane,constructor,
2021-08-22T05:00:30.317625800  Imp lvl:2,GUI.SingleTwittPanel,constructor,
2021-08-22T05:00:30.317625800  Imp lvl:2,GUI.SingleTwittPanel,constructor,
2021-08-22T05:00:31.801841800  Imp lvl:2,GUI.ProfileButtonPanel,button4,
2021-08-22T05:00:31.801841800  Imp lvl:2,GUI,floatShowProfile,
2021-08-22T05:00:31.801841800  Imp lvl:2,GUI,showFloat,
2021-08-22T05:00:31.801841800  Imp lvl:2,GUI.MainPanel,setFloatPanel,
2021-08-22T05:00:31.817267600  Imp lvl:2,GUI.FloatPanel,showUserProfile,
2021-08-22T05:00:31.817267600  Imp lvl:2,GUI.ProfilePanel,constructor,
2021-08-22T05:00:31.817267600  Imp lvl:2,GUI.ProfileButtonPanel,constructor,
2021-08-22T05:00:31.817267600  Imp lvl:2,GUI.ProfileInfoPanel,constructor,
2021-08-22T05:00:31.817267600  Imp lvl:2,GUI.ProfileInfoPanel,setText,
2021-08-22T05:00:31.817267600  Imp lvl:1,Connector,lastSeenRequest,
2021-08-22T05:00:32.645405300  Imp lvl:2,GUI.ButtonPanel,button3,
2021-08-22T05:00:32.645405300  Imp lvl:2,GUI,showTimeline,
2021-08-22T05:00:32.645405300  Imp lvl:2,GUI.MainPanel,setTimelinePanel,
2021-08-22T05:00:32.645405300  Imp lvl:1,Connector,twittListRequest,
2021-08-22T05:00:32.660816500  Imp lvl:2,GUI.TwittPane,constructor,
